iso3,country,role,person,person_qid,start,end
NIU,Niue,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,
NLD,Países Baixos,head_of_government,Dick Schoof,Q22338116,2024-01-01T00:00:00Z,
NLD,Países Baixos,head_of_state,Guilherme Alexandre dos Países Baixos,Q154952,2013-04-30T00:00:00Z,
NOR,Noruega,head_of_government,Jonas Gahr Støre,Q467948,2021-10-14T00:00:00Z,
NOR,Noruega,head_of_state,Harald V da Noruega,Q57287,1991-01-17T00:00:00Z,
NPL,Nepal,head_of_government,Pushpa Kamal Dahal,Q315500,2022-12-26T00:00:00Z,
NPL,Nepal,head_of_state,Ram Chandra Poudel,Q3183124,2023-01-01T00:00:00Z,
NRU,Nauru,head_of_government,David Adeang,Q58096,2023-10-30T00:00:00Z,
NRU,Nauru,head_of_state,David Adeang,Q58096,2023-09-30T00:00:00Z,
NZL,Nova Zelândia,head_of_government,Christopher Luxon,Q74370310,2023-11-27T00:00:00Z,
NZL,Nova Zelândia,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,
OMN,Omã,head_of_government,Haitham bin Tarik Al Said,Q12250314,2020-01-11T00:00:00Z,
OMN,Omã,head_of_state,Haitham bin Tarik Al Said,Q12250314,2020-01-11T00:00:00Z,
PAK,Paquistão,head_of_government,Shehbaz Sharif,Q2096387,2022-04-11T00:00:00Z,
PAK,Paquistão,head_of_state,Asif Ali Zardari,Q57373,2024-01-01T00:00:00Z,
PAN,Panamá,head_of_government,José Raúl Mulino,Q108454869,2024-07-01T00:00:00Z,
PAN,Panamá,head_of_state,José Raúl Mulino,Q108454869,2024-07-01T00:00:00Z,
PCN,Ilhas Pitcairn,head_of_government,Charlene Warren-Peu,Q75462006,2020-01-01T00:00:00Z,
PER,Peru,head_of_government,Dina Boluarte,Q106474688,2022-12-07T00:00:00Z,
PER,Peru,head_of_state,Dina Boluarte,Q106474688,2022-12-07T00:00:00Z,
PHL,Filipinas,head_of_government,Bongbong Marcos,Q983324,2022-06-30T00:00:00Z,
PHL,Filipinas,head_of_state,Bongbong Marcos,Q983324,2022-06-30T00:00:00Z,
PLW,Palau,head_of_government,Surangel Whipps Jr.,Q26703072,2021-01-21T00:00:00Z,
PLW,Palau,head_of_state,Surangel Whipps Jr.,Q26703072,2021-01-21T00:00:00Z,
PNG,Papua-Nova Guiné,head_of_government,James Marape,Q6138903,2019-05-30T00:00:00Z,
PNG,Papua-Nova Guiné,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,
POL,Polônia,head_of_government,Donald Tusk,Q946,2023-12-13T00:00:00Z,
POL,Polônia,head_of_state,Karol Nawrocki,Q17704749,2025-08-06T00:00:00Z,
PRI,Porto Rico,head_of_government,Jenniffer González,Q16215793,2025-01-01T00:00:00Z,
PRK,Coreia do Norte,head_of_government,Pak Thae-song,Q16905281,2024-12-01T00:00:00Z,
PRK,Coreia do Norte,head_of_state,Kim Jong-un,Q56226,2011-12-30T00:00:00Z,
PRT,Portugal,head_of_government,Luís Montenegro,Q11764394,2024-04-02T00:00:00Z,
PRT,Portugal,head_of_state,Marcelo Rebelo de Sousa,Q6756617,2016-03-09T00:00:00Z,
PRY,Paraguai,head_of_government,Santiago Peña,Q22695687,,
PRY,Paraguai,head_of_state,Santiago Peña,Q22695687,2023-04-30T00:00:00Z,
PSE,Territórios palestinos,head_of_government,Mohammad Shtayyeh,Q16192933,2019-03-10T00:00:00Z,
PSE,Territórios palestinos,head_of_state,Mahmoud Abbas,Q127998,2005-01-15T00:00:00Z,
PYF,Polinésia Francesa,head_of_government,Édouard Fritch,Q1106890,,
QAT,Catar,head_of_government,Mohammed bin Abdul Rahman Al Thani,Q23020336,2023-01-01T00:00:00Z,
QAT,Catar,head_of_state,Tamim bin Hamad al-Thani,Q1855372,2013-06-25T00:00:00Z,
REU,Reunião,head_of_government,Huguette Bello,Q3142774,2021-01-01T00:00:00Z,
ROU,Romênia,head_of_government,Ilie Bolojan,Q18538164,2025-06-23T00:00:00Z,
ROU,Romênia,head_of_state,Nicușor Dan,Q11163124,2025-05-26T00:00:00Z,
RUS,Rússia,head_of_government,Mikhail Mishustin,Q4298520,2020-01-16T00:00:00Z,
RUS,Rússia,head_of_state,Vladimir Putin,Q7747,2012-05-07T00:00:00Z,
RWA,Ruanda,head_of_government,Édouard Ngirente,Q38188115,2017-08-30T00:00:00Z,
RWA,Ruanda,head_of_state,Paul Kagame,Q1231345,2000-03-24T00:00:00Z,
SAU,Arábia Saudita,head_of_government,Salman bin Abdalaziz Al Saud,Q367825,2015-01-23T00:00:00Z,
SAU,Arábia Saudita,head_of_state,Salman bin Abdalaziz Al Saud,Q367825,2015-01-23T00:00:00Z,
SDN,Sudão,head_of_government,Abdalla Hamdok,Q27654948,2019-08-21T00:00:00Z,
SDN,Sudão,head_of_state,Abdel Fattah Abdelrahman Burhan,Q63111184,2019-04-12T00:00:00Z,
SEN,Senegal,head_of_government,Bassirou Diomaye Diakhar Faye,Q124382437,2024-04-02T00:00:00Z,
SEN,Senegal,head_of_state,Bassirou Diomaye Diakhar Faye,Q124382437,2024-04-02T00:00:00Z,
SGP,Singapura,head_of_government,Lawrence Wong,Q6504758,2024-05-15T00:00:00Z,
SGP,Singapura,head_of_state,Tharman Shanmugaratnam,Q983752,2023-09-14T00:00:00Z,
SGS,Ilhas Geórgia do Sul e Sandwich do Sul,head_of_government,Nigel Haywood,Q3341354,,
SHN,Santa Helena,head_of_government,Philip Rushbrook,Q59638933,,
SLB,Ilhas Salomão,head_of_government,Jeremiah Manele,Q6180897,2024-05-02T00:00:00Z,
SLB,Ilhas Salomão,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,
SLE,Serra Leoa,head_of_government,David Sengeh,Q23728768,2023-01-01T00:00:00Z,
SLE,Serra Leoa,head_of_state,Julius Maada Bio,Q283829,2018-04-04T00:00:00Z,
SLV,El Salvador,head_of_government,Nayib Bukele,Q17712353,2019-06-01T00:00:00Z,
SLV,El Salvador,head_of_state,Nayib Bukele,Q17712353,2019-06-01T00:00:00Z,
SMR,San Marino,head_of_state,Italo Righi,Q1353628,20254-04-01T00:00:00Z,
SOM,Somália,head_of_government,Mohamed Hussein Roble,Q99605101,2020-09-23T00:00:00Z,
SOM,Somália,head_of_state,Hassan Sheikh Mohamud,Q319153,2022-05-15T00:00:00Z,
SPM,São Pedro e Miquelão,head_of_government,Stéphane Artano,Q3501568,,
SRB,Sérvia,head_of_government,Đuro Macut,Q42478807,2025-04-16T00:00:00Z,
SRB,Sérvia,head_of_state,Aleksandar Vučić,Q222031,2017-05-31T00:00:00Z,
SSD,Sudão do Sul,head_of_government,Salva Kiir Mayardit,Q57315,,
SSD,Sudão do Sul,head_of_state,Salva Kiir Mayardit,Q57315,2011-07-09T00:00:00Z,
STP,São Tomé e Príncipe,head_of_government,Américo Ramos,Q131749390,2025-01-12T00:00:00Z,
STP,São Tomé e Príncipe,head_of_state,Carlos Vila Nova,Q27982047,2021-10-02T00:00:00Z,
SUR,Suriname,head_of_government,Chan Santokhi,Q333135,2020-07-16T00:00:00Z,
SUR,Suriname,head_of_state,Chan Santokhi,Q333135,2020-07-16T00:00:00Z,
SVK,Eslováquia,head_of_government,Robert Fico,Q57606,2023-10-25T00:00:00Z,
SVK,Eslováquia,head_of_state,Peter Pellegrini,Q17330556,2024-06-15T00:00:00Z,
SVN,Eslovênia,head_of_government,Robert Golob,Q18645045,2022-05-25T00:00:00Z,
SVN,Eslovênia,head_of_state,Nataša Pirc Musar,Q12797332,2022-12-22T00:00:00Z,
SWE,Suécia,head_of_government,Ulf Kristersson,Q1780398,2022-10-18T00:00:00Z,
SWE,Suécia,head_of_state,Carlos XVI Gustavo da Suécia,Q45068,1973-09-15T00:00:00Z,
SWZ,Essuatíni,head_of_government,Russell Dlamini,Q123342092,2023-11-04T00:00:00Z,
SWZ,Essuatíni,head_of_state,Mswati III de Essuatíni,Q57340,1986-04-25T00:00:00Z,
SXM,Sint Maarten,head_of_government,Leona Marlin-Romeo,Q47262798,2018-01-15T00:00:00Z,
SXM,Sint Maarten,head_of_state,Eugene Holiday,Q2298739,,
SYC,Seicheles,head_of_government,Wavel Ramkalawan,Q1568174,2020-10-26T00:00:00Z,
SYC,Seicheles,head_of_state,Wavel Ramkalawan,Q1568174,2020-10-26T00:00:00Z,
SYR,Síria,head_of_state,Bashar al-Assad,Q44329,2000-07-17T00:00:00Z,2024-12-08T00:00:00Z
TCA,Ilhas Turcas e Caicos,head_of_government,Washington Misick,Q7972058,,
TCA,Ilhas Turcas e Caicos,head_of_state,Carlos III do Reino Unido,Q43274,,
TCD,Chade,head_of_government,Idriss Déby,Q57350,2018-05-04T00:00:00Z,2021-04-20T00:00:00Z
TCD,Chade,head_of_state,Mahamat Déby Itno,Q16206405,,
TGO,Togo,head_of_government,Faure Gnassingbé,Q4414,2025-05-03T00:00:00Z,
TGO,Togo,head_of_state,Jean-Lucien Savi de Tové,Q6169516,2025-05-03T00:00:00Z,
THA,Tailândia,head_of_government,Phumtham Wechayachai,Q13018661,2025-07-03T00:00:00Z,
THA,Tailândia,head_of_state,Maha Vajiralongkorn,Q548733,2016-10-13T00:00:00Z,
TJK,Tadjiquistão,head_of_government,Kokhir Rasulzoda,Q15222839,2013-11-23T00:00:00Z,
TJK,Tadjiquistão,head_of_state,Emomali Rakhmov,Q57366,,
TKM,Turcomenistão,head_of_government,Serdar Berdimuhammedow,Q51874548,2022-03-19T00:00:00Z,
TKM,Turcomenistão,head_of_state,Serdar Berdimuhammedow,Q51874548,2022-03-19T00:00:00Z,
TLS,Timor-Leste,head_of_government,Xanana Gusmão,Q11509,2023-01-01T00:00:00Z,
TLS,Timor-Leste,head_of_state,José Ramos-Horta,Q11665,2022-05-20T00:00:00Z,
TON,Tonga,head_of_government,'Aisake Eke,Q8083950,2025-01-22T00:00:00Z,
TON,Tonga,head_of_state,Tupou VI,Q208497,2012-03-18T00:00:00Z,
TTO,Trinidad e Tobago,head_of_government,Kamla Persad-Bissessar,Q57712,2025-05-01T00:00:00Z,
TTO,Trinidad e Tobago,head_of_state,Christine Kangaloo,Q97400315,2023-03-20T00:00:00Z,
TUN,Tunísia,head_of_government,Sara Zaafarani,Q108892374,2025-03-21T00:00:00Z,
TUN,Tunísia,head_of_state,Kaïs Saïed,Q16120878,2019-10-23T00:00:00Z,
TUR,Turquia,head_of_government,Recep Tayyip Erdoğan,Q39259,2018-06-24T00:00:00Z,
TUR,Turquia,head_of_state,Recep Tayyip Erdoğan,Q39259,2014-08-28T00:00:00Z,
TUV,Tuvalu,head_of_government,Feleti Teo,Q5441662,2024-02-26T00:00:00Z,
TUV,Tuvalu,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,
TWN,Taiwan,head_of_government,Cho Jung-tai,Q5116472,2024-05-20T00:00:00Z,
TWN,Taiwan,head_of_state,Lai Ching‑te,Q3847080,2024-05-20T00:00:00Z,
TZA,Tanzânia,head_of_government,Samia Suluhu,Q16193885,,
TZA,Tanzânia,head_of_state,Samia Suluhu,Q16193885,2021-03-19T00:00:00Z,
UGA,Uganda,head_of_government,Robinah Nabbanja,Q62481397,2021-06-01T00:00:00Z,
UGA,Uganda,head_of_state,Yoweri Museveni,Q57274,1986-01-29T00:00:00Z,
UKR,Ucrânia,head_of_government,Yulia Svyrydenko,Q61112536,2025-07-17T00:00:00Z,
UKR,Ucrânia,head_of_state,Volodymyr Zelenski,Q3874799,2019-05-20T00:00:00Z,
URY,Uruguai,head_of_government,Yamandú Orsi,Q19946921,2025-03-01T00:00:00Z,
URY,Uruguai,head_of_state,Yamandú Orsi,Q19946921,2025-03-01T00:00:00Z,
USA,Estados Unidos,head_of_government,Donald Trump,Q22686,2025-01-20T00:00:00Z,
USA,Estados Unidos,head_of_state,Donald Trump,Q22686,2025-01-20T00:00:00Z,
UZB,Uzbequistão,head_of_government,Abdulla Aripov,Q28002959,2016-12-14T00:00:00Z,
UZB,Uzbequistão,head_of_state,Shavkat Mirziyayev,Q57808,2016-09-08T00:00:00Z,
VAT,Cidade do Vaticano,head_of_government,Raffaella Petrini,Q109385659,2025-03-01T00:00:00Z,
VAT,Cidade do Vaticano,head_of_state,Leão XIV,Q6109517,2025-05-08T00:00:00Z,
VCT,São Vicente e Granadinas,head_of_government,Ralph Gonsalves,Q57800,,
VCT,São Vicente e Granadinas,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,
VEN,Venezuela,head_of_government,Juan Guaidó,Q58833335,2019-01-23T00:00:00Z,
VEN,Venezuela,head_of_state,Nicolás Maduro,Q58132,2013-03-05T00:00:00Z,
VGB,Ilhas Virgens Britânicas,head_of_government,Andrew Fahie,Q28709152,2019-02-26T00:00:00Z,
VIR,Ilhas Virgens Americanas,head_of_government,Albert Bryan,Q59302363,2019-01-07T00:00:00Z,
VNM,Vietnã,head_of_government,Phạm Minh Chính,Q10806940,2021-04-05T00:00:00Z,
VNM,Vietnã,head_of_state,Tô Lâm,Q10831196,2024-05-22T00:00:00Z,
VUT,Vanuatu,head_of_government,Bob Loughman,Q16190741,2020-04-20T00:00:00Z,
VUT,Vanuatu,head_of_state,Nikenike Vurobaravu,Q113239716,2022-07-23T00:00:00Z,
WSM,Samoa,head_of_government,Naomi Mata'afa,Q5446290,2021-05-24T00:00:00Z,
WSM,Samoa,head_of_state,Va'aletoa Sualauvi II,Q32014514,2017-07-21T00:00:00Z,
YEM,Iêmen,head_of_government,Maeen Abdulmalik Saeed,Q57373157,2018-10-15T00:00:00Z,
YEM,Iêmen,head_of_state,Rashad al-Alimi,Q12213376,2022-04-07T00:00:00Z,
ZAF,África do Sul,head_of_government,Cyril Ramaphosa,Q1148669,2018-02-15T00:00:00Z,
ZAF,África do Sul,head_of_state,Cyril Ramaphosa,Q1148669,2018-02-15T00:00:00Z,
ZMB,Zâmbia,head_of_government,Edgar Lungu,Q18352991,,
ZMB,Zâmbia,head_of_state,Hakainde Hichilema,Q717185,2021-08-24T00:00:00Z,
ZWE,Zimbábue,head_of_government,Emmerson Mnangagwa,Q510523,2017-11-24T00:00:00Z,
ZWE,Zimbábue,head_of_state,Emmerson Mnangagwa,Q510523,2017-11-24T00:00:00Z,
